Open,High,Low,Close,Adj Close,Volume,SMA,ATR,RSI
43.96875,43.96875,43.75,43.9375,25.547971725463867,1003200,,,
43.96875,44.25,43.96875,44.25,25.72968292236328,480500,,,100.0
44.21875,44.375,44.125,44.34375,25.784194946289062,201300,,,100.0
44.40625,44.84375,44.375,44.8125,26.056758880615234,529400,,,100.0
44.96875,45.09375,44.46875,45.0,26.165781021118164,531500,,,100.0
44.96875,45.0625,44.71875,44.96875,26.14760971069336,492100,,,99.20630099819797
44.96875,45.125,44.90625,44.96875,26.14760971069336,596100,,,99.20630099819797
44.8125,44.8125,44.5625,44.65625,25.965904235839844,122100,,,90.8440766331679
44.65625,44.75,44.53125,44.71875,26.002243041992188,379600,,,91.00733876803277
44.78125,45.125,44.78125,44.9375,26.129432678222656,19500,,,91.57367488823557
44.875,44.875,44.59375,44.59375,25.92957878112793,42500,,,82.75396742053282
44.46875,44.46875,43.40625,43.46875,25.275415420532227,374800,,,61.78197024053347
43.46875,43.53125,43.28125,43.4375,25.257247924804688,210900,,,61.317118048021044
43.9375,43.9375,42.8125,43.40625,25.239072799682617,378100,25.812750271388463,0.4575892857142857,60.824268111489104
43.40625,43.5625,43.34375,43.5625,25.329931259155273,34900,25.79717595236642,0.4575892857142857,62.44945712667688
43.6875,43.78125,43.5625,43.71875,25.420793533325195,513600,25.775112424577987,0.45089285714285715,64.05531152952193
43.84375,43.875,43.46875,43.6875,25.40260124206543,373700,25.747855731419154,0.46205357142857145,63.47068594430939
43.71875,44.25,43.71875,44.25,25.72968292236328,26300,25.724493162972585,0.46651785714285715,68.96197104541866
44.21875,44.375,44.125,44.34375,25.784194946289062,44500,25.697237014770508,0.43973214285714285,69.77742121355065
44.4375,44.4375,44.1875,44.40625,25.820541381835938,66200,25.67387499128069,0.4330357142857143,70.33693746368048
44.5625,44.5625,44.21875,44.28125,25.747846603393555,66500,25.64532048361642,0.4419642857142857,67.63982927420038
44.3125,44.9375,44.25,44.9375,26.129432678222656,182400,25.657001086643763,0.46205357142857145,73.405509741594
45.0,45.15625,44.9375,45.125,26.23847770690918,280100,25.67387499128069,0.46205357142857145,74.78770314821404
45.1875,45.1875,44.875,44.875,26.09310531616211,89500,25.67128017970494,0.45535714285714285,69.59405295120166
44.9375,45.125,44.71875,44.75,26.02042007446289,40000,25.677768843514578,0.45982142857142855,67.08548565605304
44.84375,45.75,44.84375,45.75,26.601879119873047,50800,25.77251625061035,0.44642857142857145,74.8849166623045
45.65625,45.6875,45.5,45.59375,26.511030197143555,169300,25.862072127205984,0.44642857142857145,72.0135134700856
45.59375,45.6875,45.40625,45.6875,26.565547943115234,194400,25.956820351736887,0.3861607142857143,72.69014944663175
45.71875,45.84375,45.5,45.5625,26.49285888671875,70900,26.039886610848562,0.3950892857142857,70.2513027178536
45.1875,45.21875,44.8125,45.09375,26.220291137695312,643600,26.096993582589285,0.4330357142857143,61.86841095749952
45.0625,45.3125,45.0625,45.3125,26.347497940063477,310800,26.164486203874862,0.421875,64.02577008645505
45.3125,45.4375,45.3125,45.3125,26.347497940063477,30800,26.208615847996303,0.390625,64.02577008645505
45.25,45.25,44.96875,45.03125,26.183950424194336,21800,26.237169810703822,0.39732142857142855,59.04459796307051
45.21875,45.5,45.21875,45.3125,26.347497940063477,59300,26.27480956486293,0.41294642857142855,62.210736065862534
45.28125,45.28125,45.03125,45.03125,26.307613372802734,66900,26.31479290553502,0.40848214285714285,57.42951836960847
44.59375,44.875,44.5625,44.78125,26.16155433654785,183400,26.3170873097011,0.39285714285714285,53.493928515280885
44.90625,44.9375,44.8125,44.875,26.216339111328125,55200,26.315505981445312,0.38839285714285715,54.74633236013062
44.8125,45.0625,44.59375,44.875,26.216339111328125,37200,26.324308395385742,0.39955357142857145,54.74633236013062
44.90625,45.25,44.84375,45.15625,26.38064193725586,110100,26.350038528442383,0.39955357142857145,58.62321048818888
45.125,45.15625,44.875,44.90625,26.234600067138672,101500,26.323804310389928,0.3482142857142857,54.179975036830335
44.9375,45.3125,44.9375,45.09375,26.344125747680664,87100,26.31188256399972,0.359375,56.823154120378724
45.15625,45.21875,45.09375,45.21875,26.41715431213379,56000,26.301283018929617,0.3482142857142857,58.54023794490471
45.34375,45.46875,45.1875,45.1875,26.398897171020508,111600,26.294571467808314,0.34375,57.920091137523315
45.25,45.25,44.9375,45.03125,26.307613372802734,129500,26.30080877031599,0.3125,54.79450328084862
44.65625,44.65625,44.09375,44.09375,25.75992202758789,59400,26.258839062282018,0.36160714285714285,40.62797133028922
44.4375,44.4375,44.1875,44.3125,25.887718200683594,172200,26.22599765232631,0.37723214285714285,44.24985127102814
44.40625,44.40625,44.0625,44.1875,25.81468391418457,129700,26.1996214730399,0.37723214285714285,42.648798676110765
44.25,44.34375,44.15625,44.34375,25.905973434448242,28000,26.168084008353098,0.35714285714285715,45.31244750224955
44.53125,44.53125,44.09375,44.28125,25.86945343017578,180800,26.13678686959403,0.36830357142857145,44.42366898869039
44.71875,44.9375,44.65625,44.90625,26.234600067138672,348500,26.142004421779088,0.38169642857142855,54.115884711400305
44.875,45.15625,44.84375,45.0,26.28935432434082,146100,26.147219794137136,0.39285714285714285,55.373089322743446
45.03125,45.0625,44.90625,44.9375,26.252838134765625,119600,26.149826867239817,0.3705357142857143,54.3048329087556
44.90625,45.03125,44.75,44.9375,26.252838134765625,148600,26.1406980242048,0.36160714285714285,54.3048329087556
44.96875,45.03125,44.875,44.9375,26.252838134765625,47900,26.14200074332101,0.35267857142857145,54.3048329087556
